year,quarter,stat_mwh,sx,y3,notes,link1
2017,1,60,25418,0,"ALL THOSE NUMBER ARE PRODUCTION NUMBERS, not delivery numbers",
2017,2,97,25708,0,,
2017,3,110,25076,260,press release and presentation,
2017,4,143,22140,2425,press release and presentation,
2018,1,373,24728,9766,IR q1 2019,https://tesla-cdn.thron.com/static/9XGCOG_TSLA_Update_Letter_2019-1Q_7LPZMW.pdf
2018,2,203,24761,28578,press release and presentation,https://ir.tesla.com/press-release/tesla-q2-2018-vehicle-production-and-deliveries
2018,3,239,27660,55840,press release and presentation,https://ir.tesla.com/press-release/tesla-q3-2018-vehicle-production-and-deliveries
2018,4,225,25161,61394,IR q1 2019,
2019,1,229,14163,62975,IR q1 2020,https://tesla-cdn.thron.com/static/HZTKGL_TSLA_Update_Letter_2020-1Q_VGVL6F.pdf
2019,2,415,14517,72531,IR q1 2020,
2019,3,477,16318,79837,IR q1 2020,
2019,4,530,17933,86958,IR q1 2020,
2020,1,260,15390,87282,IR q1 2020,
2020,2,419,6326,75946,IR q2 2021,https://tesla-cdn.thron.com/delivery/public/document/tesla/915a0dab-11c4-4d81-9526-52995afb67ee/S1dbei4/WEB/q2_2021
2020,3,759,16992,128044,IR q2 2021,
2020,4,1584,16097,163660,IR q2 2021,
2021,1,445,0,180338,IR q2 2021,
2021,2,1274,2340,204081,IR q2 2021,
2021,3,1295,8941,228882,IR q3 2021,
2021,4,978,13109,292731,IR q4 2021,
2022,1,846,14218,291189,IR q1 2022,
2022,2,1133,16411,242169,IR q2 2022,
2022,3,2100,19935,345988,IR q3 2022,
2022,4,2462,20613,419088,IR q4 2022,
2023,1,3889,19437,421371,IR q1 2023,
2023,2,3653,19489,460211,IR q2 2023,
