quarter,category,count,mwh_sum,kwh_avg,mw_sum,kw_avg
2017-Q1,small,3116,20,6.6,10,3.5
2017-Q2,small,6295,44,7.0,23,3.7
2017-Q3,small,6744,49,7.4,25,3.8
2017-Q4,small,1122,8,7.6,4,4.0
2018-Q1,small,4584,34,7.6,17,3.8
2018-Q2,small,7820,59,7.6,29,3.8
2018-Q3,small,8429,65,7.8,32,3.9
2018-Q4,small,1371,11,8.0,5,4.0
2019-Q1,small,7320,56,7.7,27,3.8
2019-Q2,small,14647,113,7.8,54,3.7
2019-Q3,small,17073,133,7.8,64,3.8
2019-Q4,small,2916,22,7.7,11,3.8
2020-Q1,small,15670,125,8.0,60,3.9
2020-Q2,small,26721,218,8.2,107,4.0
2020-Q3,small,35695,291,8.2,153,4.3
2020-Q4,small,7419,60,8.1,33,4.5
2021-Q1,small,25897,216,8.4,119,4.6
2021-Q2,small,47755,402,8.4,231,4.9
2021-Q3,small,51938,436,8.4,260,5.0
2021-Q4,small,9245,77,8.4,52,5.7
2022-Q1,small,21774,182,8.4,134,6.2
2022-Q2,small,895,7,8.2,8,9.2
2022-Q3,small,73,0,8.9,0,5.3
2022-Q4,small,13,0,8.2,0,4.6
2023-Q1,small,5,0,7.6,0,3.2
2023-Q2,small,2,0,5.5,0,2.5
2023-Q3,small,11,0,8.8,0,5.3
2023-Q4,small,10,0,7.7,0,3.6
