name,customer,city,id,state,country,lat,long,coords exact,type,status,date first heard,start construction,start operation,no of megapacks,no of powerpacks,capacity mwh,power mw,use case,link1,link2,link3,notes
Kapolei Energy Storage,Hawaiian Electric,,1,hawaii,usa,21.328169,-158.105085,1,megapack,construction,,2021-08-25,,158,,565,185,"island, black start",https://www.tesmanian.com/blogs/tesmanian-blog/tesla-565-mwh-megapack-project-in-hawaii-celebrates-groundbreaking-ceremony,https://www.kapoleienergystorage.com/overview,,
Victorian Big Battery,Neoen Australia,geelong,2,victoria,australia,-38.037741,144.290949,1,megapack,operation,2020-11-01,2021-01-01,2021-07-28,212,,450,300,,https://www.teslarati.com/telsa-megpack-victorian-big-battery-launched/,https://victorianbigbattery.com.au/,https://techau.com.au/victorias-grid-just-got-greener-thanks-to-212-tesla-megapack-batteries-300mw-450mwh/  https://victorianbigbattery.com.au/,
Saticoy,Arevon,oxnard / los angeles,3,california,usa,34.25773,-119.158534,1,megapack,operation,,2020-10-01,2021-06-29,142,,400,100,peaker plant replacement,https://electrek.co/2021/06/30/tesla-megapacks-power-on-battery-replacing-gas-peaker-plant-california/,https://www.prnewswire.com/news-releases/arevon-powers-oxnard-forward-with-saticoy-battery-storage-project-301321788.html,https://arevonenergy.com/location/saticoy/,
California Flats,Apple,monterey county,4,california,usa,35.87009,-120.326403,1,megapack,planning,2021-03-21,,,85,,240,130,130MW solar farm support,https://www.teslarati.com/tesla-megapack-apple-solar-farm-california/,https://www.apple.com/newsroom/2021/03/apple-powers-ahead-in-new-renewable-energy-solutions-with-over-110-suppliers/,https://www.firstsolar.com/en/Resources/Projects/California-Flats,
Nofar Israel,Nofar Energy,,5,,israel,31.961747,34.835081,0,megapack,planning,2021-03-16,,,,,,100,150mw solar farm support,https://www.tesmanian.com/blogs/tesmanian-blog/tsla-receives-30-million-order-for-energy-storage-system-from-nofar-energy,,,
Gambit,Tesla Subsidiary,angleton / houston,6,texas,usa,29.168189,-95.445369,1,megapack,construction,2021-03-08,2021-03-08,,,,,100,tesla as energy providor,https://www.teslarati.com/tesla-texas-big-battery-report/,https://www.bloomberg.com/news/features/2021-03-08/tesla-is-plugging-a-secret-mega-battery-into-the-texas-grid,https://www.youtube.com/watch?v=OottNRdebs8,
Moss landing ,PG&E,close to santa cruz,7,california,usa,36.807971,-121.781701,1,megapack,operation,,2020-07-01,2021-04-01,256,,730,182,,https://www.teslarati.com/tesla-megapack-battery-moss-landing-completion-video/,https://en.wikipedia.org/wiki/Tesla_Megapack,,"drone video only show ca 130 white boxes and each is 2 megapacks, there is a vistra battery close by that is even bigger"
Hornsdale Power Reserve,Neoen Australia,hornsdale,8,south australia,australia,-33.085797,138.518339,1,powerpack,operation,2017-03-10,2017-08-01,2017-12-01,,,194,150,316MW wind farm support,https://en.wikipedia.org/wiki/Hornsdale_Power_Reserve,https://hornsdalepowerreserve.com.au/,,"in 2020, 64mwh were added"
Osaka Trains,,Osaka,9,,japan,34.701231,135.494584,0,powerpack,operation,,,2019-03-27,,42,12,,train station backup,https://www.teslarati.com/telsa-powerpack-osaka-japan/,,,42 power packs
Hokkaido,,,10,,japan,,,0,megapack,planning,,,,,,6,,,https://www.bloomberg.com/news/articles/2021-08-19/tesla-plotting-battery-storage-entry-into-japan-s-power-market,,,
Vallecito Energy Storage Resilience (VESR),Clean Coalition,carpinteria / santa barbara county,11,california,usa,34.408083,-119.512937,0,megapack,operation,,2020-11-05,2021-03-31,15,,40,,,https://www.tesmanian.com/blogs/tesmanian-blog/tesla-begins-installation-of-15-megapacks-at-carpinteria-santa-barbara-county,https://clean-coalition.org/news/vallecito-energy-storage-resilience-vesr-project-online-december/,,
Wallgrove Grid Battery,TransGrid,Wallgrove / Sydney,12,new south wales,australia,-33.817659,150.828087,0,megapack,construction,2020-10-27,2021-02-01,,,,75,50,,https://www.transgrid.com.au/wallgrovebattery,https://www.tesmanian.com/blogs/tesmanian-blog/tesla-and-transgrid-will-build-tesla-megapack-battery-in-western-sydney-australia,,
WCSB Power,WCSB  Power,,13,alberta,canada,,,0,megapack,planning,2020-10-17,,,,,,60,,https://www.teslarati.com/tesla-canada-biggest-battery-energy-storage-system/,http://td.mediaroom.com/2020-10-14-TD-Greystone-Infrastructure-Fund-Invested-in-Canadas-Largest-Battery-Energy-Storage-System,,
WindCharger,TransAlta,,14,alberta,canada,,,0,megapack,operation,,,2020-10-15,9,,20,10,wind farm support,https://www.transaltarenewables.com/2020/10/15/transalta-renewables-announces-commercial-operation-of-windcharger-albertas-first-utility-scale-battery-storage-project/,https://www.teslarati.com/tesla-megapack-alberta-windcharger-complete/,https://www.tesmanian.com/blogs/tesmanian-blog/tesla-megapack-utility-scale-battery-storage-ready-for-operation-in-canada,
Holes Bay,Harmony Energy Ltd,Holes Bay / Southampton,15,,uk,,,0,megapack,operation,,,2020-09-18,6,,,7.5,,https://www.teslarati.com/tesla-megapack-autobidder-uk-energy-grid-debut/,https://www.bloomberg.com/news/articles/2020-09-18/six-giant-tesla-batteries-used-to-keep-lights-on-in-britain,,
switch datacenter,switch,,16,nevada,usa,,,0,megapack,planning,2020-07-24,,,,,,,datacenter,https://electrek.co/2020/07/24/tesla-megapack-project-switch-datacenter/,,,
Kauai Island,KIUC,Kauai,17,hawaii,usa,,,0,powerpack,operation,,,2017-03-08,,,52,,"island, 13mw solar farm support",https://www.theverge.com/2017/3/8/14854858/tesla-solar-hawaii-kauai-kiuc-powerpack-battery-generator,,,20 year contract to buy energy
Mira Loma Substation,SCE Southern California Edison,Ontario,18,california,usa,,,0,powerpack,operation,,,2017-06-02,,,80,20,,https://www.theverge.com/2017/2/6/14523196/tesla-battery-powerpack-los-angeles-electricity,,,
ngen slovenia 2,ngen,Kidričevo,19,,slovenia,,,0,megapack,operation,,,2020-10-13,12,,30,15,,https://www.teslarati.com/tesla-megapack-installation-ngen-slovenia/,,,
ngen slovenia 1,ngen,Jesenice,20,,slovenia,,,0,powerpack,operation,,,2019-10-14,,,22,12,,https://www.youtube.com/watch?v=v9j-2lsMcJ0,,,
Alaska,Homer Electric Association,Soldotna Power Plant,21,alaska,usa,,,0,megapack,operation,2019-12-03,,2021-07-23,37,,93,46,,https://www.homerelectric.com/2019/12/battery-energy-storage-system-bess-coming-to-hea/,https://www.homerelectric.com/2021/07/battery-energy-storage-system-has-arrived/,,
Colorado ,United Power,Weld County,22,colorado,usa,,,0,powerpack,operation,2018-10-14,,2019-01-22,,,16,4,,https://www.youtube.com/watch?v=dyAhUREGDzA,https://electrek.co/2018/10/14/tesla-powerpack-project-save-colorado-ratepayers/,,
Nantucket,National Grid,Nantucket island,23,massachusetts,usa,,,0,powerpack,operation,2017-11-08,,2019-19-09,,234,48,6,island,https://electrek.co/2017/11/08/tesla-powerpack-island-of-nantucket/,https://electrek.co/2019/10/09/tesla-big-powerpack-nantucket/,,
Guildford electric buses,Zenobe Energy ,guildford,24,,uk,,,0,powerpack,operation,,,2019-06-26,,78,15,,bus depot,https://electrek.co/2019/06/26/tesla-powerpacks-charge-electric-buses/,,,
Gannawarra Solar Farm,Edify Energy / Wirsol,,25,victora,australia,,,0,powerpack,operation,,,2018-11-16,,,50,25,60MW solar farm support,https://electrek.co/2018/11/16/tesla-powerpack-project-australia-megapack/,,,
Lake Bonney Wind Farm,Infigen Energy,,26,south australia,australia,,,0,powerpack,operation,2018-08-15,,2020-01-22,,,52,25,278MW wind farm support,https://electrek.co/2018/08/15/tesla-powerpack-win-contract-battery-system/,https://www.pv-magazine.com/2020/01/22/lake-bonney-big-battery-ready-to-supply-teslas-australian-ev-charger-network/,,
Ta'u island,,Ta'u island,27,american samoa,usa,,,0,powerpack,operation,,,2016-11-22,,60,6,,"island, 1.4MW solar farm support",https://electrek.co/2016/11/22/tesla-island-microgrid-battery-solar/,,,
Samoa,,,28,,samoa,,,0,powerpack,operation,,,2018-07-25,,,13.5,,island,https://electrek.co/2018/07/25/tesla-microgrid-powerpack-projects-samoa-fossil-fuel-free/,,,2 locations at power station and airport
Pinal Central Solar Energy Center,Salt River Project,,29,arizona,usa,,,0,powerpack,operation,,,2018-05-29,,,40,10,20MW solar farm support,https://electrek.co/2018/05/29/tesla-powerpacks-without-logo-new-solar-project-arizona/,https://www.youtube.com/watch?v=e9RuVL3t4jQ,,
Terhills,Restore,Terhills,30,,belguim,,,0,powerpack,operation,,,2018-05-14,,140,29,18,,https://electrek.co/2018/05/14/tesla-powerpack-project-grid-balancing-europe/,,,
